ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
164,164,True,0.8786,0.410,0.566,0.122,294.03,258.34,-35.69,-12.14,90.82,87.62,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
168,168,True,0.7997,0.407,0.715,0.080,284.28,227.35,-56.93,-20.03,143.76,140.92,6.22,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
169,169,True,0.8930,0.407,0.566,0.116,282.61,252.38,-30.23,-10.70,77.19,73.99,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
171,171,True,0.8661,0.412,0.566,0.035,273.07,236.51,-36.56,-13.39,93.00,89.80,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
172,172,True,0.8814,0.410,0.566,0.108,272.92,240.54,-32.38,-11.86,82.54,79.34,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
175,175,True,0.8793,0.428,1.458,0.098,270.48,237.84,-32.64,-12.07,83.88,78.67,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
177,177,True,0.8861,0.410,0.566,0.135,267.69,237.21,-30.48,-11.39,77.80,74.60,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
184,184,True,0.8622,0.412,0.566,0.130,258.94,223.25,-35.69,-13.78,90.83,87.63,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
185,185,True,0.8791,0.412,0.566,0.057,256.15,225.18,-30.97,-12.09,79.02,75.82,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
196,196,True,0.8857,0.410,0.566,0.058,234.23,207.45,-26.78,-11.43,68.54,65.34,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
198,198,True,0.8721,0.411,0.566,0.099,231.80,202.15,-29.65,-12.79,75.73,72.53,0.02,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
199,199,True,0.8853,0.405,0.566,0.027,230.58,204.13,-26.45,-11.47,67.74,64.54,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
205,205,True,0.8805,0.412,0.566,0.030,224.90,198.03,-26.87,-11.95,68.78,65.58,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
206,206,True,0.8530,0.414,0.566,0.112,219.37,187.12,-32.25,-14.70,82.23,79.03,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
211,211,True,0.8812,0.407,0.566,0.018,210.23,185.25,-24.98,-11.88,64.05,60.85,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
214,214,True,0.8345,0.406,0.566,0.186,207.88,173.47,-34.41,-16.55,87.63,84.43,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
221,221,True,0.8704,0.409,0.566,0.095,195.81,170.44,-25.37,-12.96,65.03,61.83,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
225,225,True,0.8487,0.407,0.566,0.086,192.18,163.11,-29.07,-15.13,74.28,71.08,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
226,226,True,0.8797,0.406,0.566,0.045,191.24,168.23,-23.01,-12.03,59.12,55.92,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
227,227,True,0.8753,0.407,0.566,0.017,189.93,166.24,-23.69,-12.47,60.83,57.63,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
232,232,True,0.8743,0.419,1.104,0.028,180.31,157.65,-22.66,-12.57,58.84,54.38,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
235,235,True,0.8707,0.411,0.566,0.030,178.06,155.04,-23.02,-12.93,59.14,55.94,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
237,237,True,0.8664,0.410,0.566,0.056,176.07,152.54,-23.53,-13.36,60.42,57.22,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
239,239,True,0.8426,0.412,0.566,0.056,175.25,147.67,-27.58,-15.74,70.54,67.34,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
240,240,True,0.8678,0.408,0.566,0.109,175.14,151.99,-23.15,-13.22,59.48,56.28,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
243,243,True,0.8397,0.412,0.566,0.038,176.98,148.61,-28.37,-16.03,72.44,69.38,2.34,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
244,244,True,0.8606,0.412,0.566,0.019,170.88,147.06,-23.82,-13.94,61.16,57.96,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
245,245,True,0.7673,0.467,2.164,0.339,178.26,136.79,-41.47,-23.26,106.81,99.11,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
246,246,True,0.8631,0.408,0.566,0.121,170.48,147.14,-23.34,-13.69,59.97,56.77,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
249,249,True,0.8677,0.409,0.566,0.039,165.73,143.80,-21.93,-13.23,56.42,53.22,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
250,250,True,0.8219,0.409,0.566,0.224,165.31,135.86,-29.45,-17.82,75.21,72.01,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
251,251,True,0.8666,0.408,0.566,0.063,164.83,142.84,-21.99,-13.34,56.58,53.38,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
257,257,True,0.8617,0.406,0.566,0.021,151.95,130.94,-21.01,-13.83,54.05,50.99,5.85,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
259,259,True,0.8484,0.410,0.566,0.092,149.31,126.67,-22.64,-15.16,58.20,55.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
261,261,True,0.8225,0.411,0.566,0.152,145.75,119.87,-25.88,-17.76,66.29,63.09,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
263,263,True,0.8496,0.408,0.566,0.022,139.34,118.38,-20.96,-15.04,54.00,50.80,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
266,266,True,0.8322,0.415,0.566,0.046,136.55,113.64,-22.91,-16.78,58.89,55.69,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
267,267,True,0.6855,0.836,4.162,1.171,133.19,91.29,-41.90,-31.46,94.12,78.04,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
268,268,True,0.7738,0.410,0.566,0.380,132.63,102.63,-30.00,-22.62,76.45,73.56,4.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
269,269,True,0.8414,0.411,0.566,0.004,132.40,111.40,-21.00,-15.86,54.11,50.91,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
270,270,True,0.8481,0.409,0.566,0.051,130.70,110.85,-19.85,-15.19,51.24,48.04,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
271,271,True,0.8531,0.408,0.566,0.014,130.08,110.97,-19.11,-14.69,49.31,46.22,2.94,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
273,273,True,0.8340,0.405,0.566,0.077,128.13,106.86,-21.27,-16.60,54.78,51.58,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
