fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
93,491.53,3.7,9.1,True,276735614,house,,0.2522,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735614, tag=house)"
95,465.08,8.6,19.1,True,276735531,yes,Sala de sport,0.5784,76.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735531, tag=yes)"
97,457.35,10.4,20.1,True,111716697,yes,Biserica Adormirea Maicii Domnului,0.5744,80.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=111716697, tag=yes)"
103,447.92,4.6,8.2,False,297540956,church,Biserica Catolică Sf. Maria,0.008,1.7,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (447.9 mp, H=4.6m)"
104,444.99,8.6,14.2,True,276735474,yes,Centrul de cercetări pentru biodiversitate,0.5281,80.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735474, tag=yes)"
105,444.36,12.8,18.0,True,258636072,university,Institutul de Științele Vieții,0.1158,40.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=258636072, tag=university)"
106,444.28,8.5,95.0,True,276735595,house,,0.2552,93.8,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735595, tag=house)"
108,435.34,5.7,10.6,True,310374384,residential,,0.2562,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=310374384, tag=residential)"
110,437.05,10.2,15.0,True,275159835,retail,,0.4936,86.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159835, tag=retail)"
111,430.57,6.7,15.1,True,297540961,house,,0.7375,91.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=297540961, tag=house)"
