ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),26,False,0.0000,0.000,0.000,0.000,0.00,1106.23,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),27,False,0.0000,0.000,0.000,0.000,0.00,1027.70,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),29,False,0.0000,0.000,0.000,0.000,0.00,992.93,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),31,False,0.0000,0.000,0.000,0.000,0.00,967.43,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),32,False,0.0000,0.000,0.000,0.000,0.00,955.35,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),34,False,0.0000,0.000,0.000,0.000,0.00,898.91,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),39,False,0.0000,0.000,0.000,0.000,0.00,804.88,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),48,False,0.0000,0.000,0.000,0.000,0.00,706.04,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),54,False,0.0000,0.000,0.000,0.000,0.00,648.11,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),56,False,0.0000,0.000,0.000,0.000,0.00,647.52,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),57,False,0.0000,0.000,0.000,0.000,0.00,628.16,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),61,False,0.0000,0.000,0.000,0.000,0.00,608.88,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),62,False,0.0000,0.000,0.000,0.000,0.00,606.35,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),72,False,0.0000,0.000,0.000,0.000,0.00,560.41,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),77,False,0.0000,0.000,0.000,0.000,0.00,545.88,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),80,False,0.0000,0.000,0.000,0.000,0.00,537.04,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),82,False,0.0000,0.000,0.000,0.000,0.00,524.73,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),85,False,0.0000,0.000,0.000,0.000,0.00,511.92,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),86,False,0.0000,0.000,0.000,0.000,0.00,510.71,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),87,False,0.0000,0.000,0.000,0.000,0.00,501.11,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),89,False,0.0000,0.000,0.000,0.000,0.00,492.75,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),90,False,0.0000,0.000,0.000,0.000,0.00,489.54,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),91,False,0.0000,0.000,0.000,0.000,0.00,493.15,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),93,False,0.0000,0.000,0.000,0.000,0.00,491.53,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),95,False,0.0000,0.000,0.000,0.000,0.00,465.08,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),97,False,0.0000,0.000,0.000,0.000,0.00,457.35,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),103,False,0.0000,0.000,0.000,0.000,0.00,447.92,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
