ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
REF_TIER1_001,155,True,0.9033,0.398,1.341,1.179,294.55,310.32,15.77,5.35,94.72,98.41,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_002,317,True,0.8364,2.177,7.415,0.924,1257.26,1471.23,213.97,17.02,170.42,219.97,1.19,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_003,12,True,0.8744,1.594,8.275,3.361,1568.98,1551.28,-17.70,-1.13,252.50,264.27,0.05,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_004,318,True,0.4802,8.146,18.634,8.889,1790.82,898.97,-891.85,-49.80,188.00,196.50,1.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_005,13,True,0.8545,1.444,5.319,0.390,1442.69,1535.20,92.51,6.41,196.96,263.63,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_006,21,True,0.9242,0.754,3.421,0.231,1126.79,1155.15,28.36,2.52,169.80,209.09,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_007,319,True,0.6412,3.447,10.905,2.844,818.34,1262.04,443.70,54.22,177.42,246.37,1.59,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_008,77,True,0.7343,2.723,10.530,3.638,448.55,545.88,97.33,21.70,107.97,128.18,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_009,232,True,0.8183,0.792,2.034,0.195,148.54,180.31,31.77,21.39,49.24,58.84,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_010,235,True,0.6338,1.716,3.787,1.342,114.69,178.06,63.37,55.25,43.98,59.14,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_011,246,True,0.8287,0.876,2.766,0.685,143.12,170.48,27.36,19.12,47.85,59.97,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_012,211,True,0.8661,0.552,1.100,0.365,192.82,210.23,17.41,9.03,58.64,64.05,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_013,243,True,0.3343,3.576,8.709,4.005,92.18,176.98,84.80,91.99,42.06,72.44,2.34,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_014,320,True,0.6037,4.226,13.680,6.222,443.91,304.10,-139.81,-31.50,96.54,74.63,8.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_015,NONE (RATATA),False,0.0000,0.000,0.000,0.000,37.15,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_016,NONE (RATATA),False,0.0000,0.000,0.000,0.000,30.94,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_017,22,True,0.4814,9.236,29.077,13.302,1484.51,1146.21,-338.30,-22.79,211.75,190.07,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_018,131,True,0.7081,2.464,6.700,2.295,286.05,379.86,93.81,32.79,80.21,88.91,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_019,250,True,0.7914,0.727,2.288,0.748,172.33,165.31,-7.02,-4.07,69.37,75.21,0.01,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_020,20,True,0.8166,2.457,7.984,1.527,1450.30,1206.25,-244.05,-16.83,155.29,158.48,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_021,NONE (RATATA),False,0.0000,0.000,0.000,0.000,307.59,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
